Fecha,sst_nino12_proxy
2018-10-01,21.283691
2018-10-02,21.091827
2018-10-03,21.083466
2018-10-04,21.42102
2018-10-05,21.262482
2018-10-06,21.409637
2018-10-07,21.689545
2018-10-08,22.073395
2018-10-09,22.26242
2018-10-10,22.29132
2018-10-11,22.518768
2018-10-12,22.598236
2018-10-13,22.62149
2018-10-14,22.511505
2018-10-15,22.343475
2018-10-16,22.253326
2018-10-17,22.278107
2018-10-18,22.234222
2018-10-19,22.208221
2018-10-20,22.267853
2018-10-21,22.097382
2018-10-22,21.852814
2018-10-23,21.740662
2018-10-24,21.85785
2018-10-25,21.749054
2018-10-26,21.809296
2018-10-27,22.034058
2018-10-28,22.188293
2018-10-29,22.435333
2018-10-30,22.54831
2018-10-31,22.743652
2018-11-01,22.681732
2018-11-02,22.85321
2018-11-03,22.969147
2018-11-04,22.944183
2018-11-05,23.066986
2018-11-06,22.962616
2018-11-07,23.073944
2018-11-08,23.199554
2018-11-09,23.399078
2018-11-10,23.514679
2018-11-11,23.44281
2018-11-12,23.644958
2018-11-13,23.572021
2018-11-14,23.454132
2018-11-15,23.207489
2018-11-16,23.172577
2018-11-17,23.1521
2018-11-18,23.16632
2018-11-19,23.29596
2018-11-20,23.310638
2018-11-21,23.241058
2018-11-22,23.181274
2018-11-23,23.141693
2018-11-24,23.11493
2018-11-25,23.154236
2018-11-26,23.233429
2018-11-27,23.120483
2018-11-28,23.173737
2018-11-29,23.14737
2018-11-30,23.21811
2018-12-01,23.268494
2018-12-02,23.235626
2018-12-03,23.26236
2018-12-04,23.315918
2018-12-05,23.240692
2018-12-06,23.260284
2018-12-07,23.417511
2018-12-08,23.622528
2018-12-09,23.740814
2018-12-10,23.74701
2018-12-11,23.883331
2018-12-12,23.947968
2018-12-13,23.823853
2018-12-14,23.729858
2018-12-15,23.61264
2018-12-16,23.56839
2018-12-17,23.51941
2018-12-18,23.546051
2018-12-19,23.649445
2018-12-20,23.63327
2018-12-21,23.714386
2018-12-22,23.787323
2018-12-23,23.884155
2018-12-24,23.939178
2018-12-25,24.006989
2018-12-26,24.058228
2018-12-27,24.17978
2018-12-28,24.192963
2018-12-29,24.152191
2018-12-30,24.114136
2018-12-31,24.106262
2019-01-01,24.139984
2019-01-02,24.157745
2019-01-03,24.037079
2019-01-04,24.035522
2019-01-05,24.056488
2019-01-06,24.135254
2019-01-07,24.126709
2019-01-08,24.242859
2019-01-09,24.320648
2019-01-10,24.611298
2019-01-11,24.871002
2019-01-12,25.03241
2019-01-13,25.00351
2019-01-14,25.003021
2019-01-15,25.008759
2019-01-16,24.871582
2019-01-17,24.693787
2019-01-18,24.786713
2019-01-19,24.796295
2019-01-20,24.954773
2019-01-21,25.156586
2019-01-22,25.40332
2019-01-23,25.21402
2019-01-24,25.210144
2019-01-25,25.27591
2019-01-26,25.35025
2019-01-27,25.355042
2019-01-28,25.529388
2019-01-29,25.615723
2019-01-30,25.606903
2019-01-31,25.632477
2019-02-01,25.629486
2019-02-02,25.7695
2019-02-03,25.979004
2019-02-04,26.05487
2019-02-05,26.292572
2019-02-06,26.275452
2019-02-07,26.157104
2019-02-08,25.790192
2019-02-09,25.75943
2019-02-10,25.519806
2019-02-11,25.644165
2019-02-12,25.787537
2019-02-13,26.131683
2019-02-14,26.250732
2019-02-15,26.414093
2019-02-16,26.688812
2019-02-17,26.717468
2019-02-18,26.851349
2019-02-19,27.212097
2019-02-20,27.298004
2019-02-21,27.387634
2019-02-22,27.460114
2019-02-23,27.437103
2019-02-24,27.23816
2019-02-25,27.143219
2019-02-26,27.062988
2019-02-27,26.976257
2019-02-28,26.967377
2019-03-01,26.983734
2019-03-02,26.883392
2019-03-03,26.757446
2019-03-04,26.834381
2019-03-05,26.737335
2019-03-06,26.820953
2019-03-07,26.67511
2019-03-08,26.534882
2019-03-09,26.4346
2019-03-10,26.362732
2019-03-11,26.760834
2019-03-12,26.605377
2019-03-13,26.71408
2019-03-14,26.759857
2019-03-15,26.853973
2019-03-16,26.983124
2019-03-17,26.928375
2019-03-18,26.633331
2019-03-19,26.252106
2019-03-20,26.114838
2019-03-21,25.641449
2019-03-22,25.022888
2019-03-23,24.552155
2019-03-24,24.278503
2019-03-25,24.184418
2019-03-26,24.242432
2019-03-27,24.356232
2019-03-28,24.573639
2019-03-29,24.653656
2019-03-30,24.667236
2019-03-31,24.702484
2019-04-01,24.641998
2019-04-02,24.615326
2019-04-03,24.770721
2019-04-04,24.816498
2019-04-05,24.842865
2019-04-06,24.796997
2019-04-07,24.923126
2019-04-08,25.02539
2019-04-09,25.05127
2019-04-10,25.112244
2019-04-11,25.08841
2019-04-12,25.183075
2019-04-13,25.216492
2019-04-14,25.156403
2019-04-15,25.117737
2019-04-16,25.080444
2019-04-17,24.97995
2019-04-18,25.064941
2019-04-19,25.046814
2019-04-20,24.968903
2019-04-21,25.018036
2019-04-22,25.072296
2019-04-23,25.288605
2019-04-24,25.288757
2019-04-25,25.299591
2019-04-26,25.179535
2019-04-27,25.186218
2019-04-28,25.131317
2019-04-29,25.023651
2019-04-30,24.853455
2019-05-01,24.699219
2019-05-02,24.517792
2019-05-03,24.326752
2019-05-04,24.369019
2019-05-05,24.275024
2019-05-06,24.187683
2019-05-07,24.203827
2019-05-08,24.297699
2019-05-09,24.319
2019-05-10,24.314606
2019-05-11,24.18753
2019-05-12,24.118988
2019-05-13,24.140839
2019-05-14,24.15268
2019-05-15,24.072418
2019-05-16,24.186981
2019-05-17,24.25232
2019-05-18,24.20404
2019-05-19,24.29364
2019-05-20,24.26294
2019-05-21,24.1503
2019-05-22,24.029266
2019-05-23,23.944916
2019-05-24,23.712372
2019-05-25,23.449188
2019-05-26,23.31311
2019-05-27,23.171295
2019-05-28,23.158905
2019-05-29,23.095184
2019-05-30,22.928253
2019-05-31,22.79004
2019-06-01,22.86444
2019-06-02,22.779938
2019-06-03,22.911835
2019-06-04,23.138794
2019-06-05,23.359589
2019-06-06,23.453094
2019-06-07,23.34732
2019-06-08,23.211975
2019-06-09,23.091217
2019-06-10,23.267303
2019-06-11,23.376465
2019-06-12,23.372559
2019-06-13,23.439484
2019-06-14,23.624725
2019-06-15,23.665588
2019-06-16,23.621094
2019-06-17,23.573181
2019-06-18,23.325409
2019-06-19,23.234375
2019-06-20,23.234375
2019-06-21,23.234375
2019-06-22,23.10971
2019-06-23,22.698486
2019-06-24,22.549713
2019-06-25,22.456635
2019-06-26,22.550018
2019-06-27,22.666199
2019-06-28,22.66336
2019-06-29,22.64035
2019-06-30,22.769257
2019-07-01,22.84082
2019-07-02,22.6503
2019-07-03,22.507599
2019-07-04,22.325836
2019-07-05,22.505219
2019-07-06,22.468292
2019-07-07,22.53299
2019-07-08,22.355804
2019-07-09,22.33258
2019-07-10,22.059662
2019-07-11,21.932861
2019-07-12,21.839844
2019-07-13,21.925415
2019-07-14,22.160217
2019-07-15,22.147583
2019-07-16,22.088043
2019-07-17,21.93753
2019-07-18,21.75174
2019-07-19,21.448822
2019-07-20,21.314453
2019-07-21,21.128998
2019-07-22,20.868042
2019-07-23,20.623016
2019-07-24,20.47409
2019-07-25,20.328125
2019-07-26,20.177002
2019-07-27,20.19983
2019-07-28,20.359467
2019-07-29,20.48404
2019-07-30,20.740967
2019-07-31,20.879608
2019-08-01,20.974243
2019-08-02,20.902222
2019-08-03,20.869354
2019-08-04,20.898834
2019-08-05,20.708923
2019-08-06,20.693176
2019-08-07,20.943085
2019-08-08,21.072266
2019-08-09,20.940033
2019-08-10,20.625702
2019-08-11,20.688446
2019-08-12,20.618988
2019-08-13,20.6828
2019-08-14,20.901978
2019-08-15,21.090363
2019-08-16,21.118927
2019-08-17,21.13031
